; 0.0 knt; 2.0 knt; 4.0 knt; 6.0 knt; 8.0 knt;10.0 knt;12.0 knt;14.0 knt;16.0 knt;18.0 knt;20.0 knt;22.0 knt;24.0 knt
 1.0 deg;37103279.5;63960893.2;90824794.5;117711530.0;144661854.2;171758082.1;199124865.7;226882364.1;255041289.1;283400297.3;311569364.4;339185152.8;366177381.0
 3.0 deg;56972674.3;83830287.9;110694189.3;137580924.7;164531248.9;191627476.8;218994260.4;246751758.8;274910683.8;303269692.0;331438759.1;359054547.5;386046775.7
 5.0 deg;78151716.8;105009330.4;131873231.8;158759967.2;185710291.5;212806519.3;240173302.9;267930801.4;296089726.4;324448734.6;352617801.7;380233590.1;407225818.3
 7.0 deg;100583373.2;127440986.8;154304888.2;181191623.7;208141947.9;235238175.7;262604959.3;290362457.8;318521382.8;346880391.0;375049458.1;402665246.5;429657474.7
 9.0 deg;124186678.9;151044292.5;177908193.9;204794929.4;231745253.6;258841481.5;286208265.0;313965763.5;342124688.5;370483696.7;398652763.8;426268552.2;453260780.4
11.0 deg;148857105.4;175714719.0;202578620.4;229465355.8;256415680.1;283511907.9;310878691.5;338636189.9;366795115.0;395154123.2;423323190.3;450938978.6;477931206.9
13.0 deg;174467484.5;201325098.1;228188999.5;255075734.9;282026059.1;309122287.0;336489070.6;364246569.0;392405494.0;420764502.2;448933569.3;476549357.7;503541585.9
15.0 deg;200869487.1;227727100.7;254591002.1;281477737.6;308428061.8;335524289.7;362891073.2;390648571.7;418807496.7;447166504.9;475335572.0;502951360.4;529943588.6
17.0 deg;227895636.1;254753249.7;281617151.1;308503886.5;335454210.7;362550438.6;389917222.2;417674720.6;445833645.6;474192653.8;502361720.9;529977509.3;556969737.5
19.0 deg;255361815.7;282219429.3;309083330.7;335970066.1;362920390.4;390016618.2;417383401.8;445140900.3;473299825.3;501658833.5;529827900.6;557443689.0;584435917.2
